,Dept,Date,Dept_Total_Sales
0,1,2010-02-05,881833.41
1,1,2010-02-12,1457182.4
2,1,2010-02-19,1118257.36
3,1,2010-02-26,681391.58
4,1,2010-03-05,762652.5700000001
5,1,2010-03-12,803886.93
6,1,2010-03-19,846686.47
7,1,2010-03-26,1045724.42
8,1,2010-04-02,2451952.54
9,1,2010-04-09,1518946.82
10,1,2010-04-16,609719.72
11,1,2010-04-23,588496.89
12,1,2010-04-30,600156.0
13,1,2010-05-07,669362.7999999999
14,1,2010-05-14,666912.2
15,1,2010-05-21,633105.07
16,1,2010-05-28,643528.83
17,1,2010-06-04,648393.8099999999
18,1,2010-06-11,648890.42
19,1,2010-06-18,665184.13
20,1,2010-06-25,648196.08
21,1,2010-07-02,678962.23
22,1,2010-07-09,637733.18
23,1,2010-07-16,648002.6900000001
24,1,2010-07-23,631305.04
25,1,2010-07-30,634299.47
26,1,2010-08-06,642139.2
27,1,2010-08-13,624871.72
28,1,2010-08-20,608719.73
29,1,2010-08-27,609494.16
30,1,2010-09-03,645460.66
31,1,2010-09-10,679750.43
32,1,2010-09-17,707846.31
33,1,2010-09-24,710290.4299999999
34,1,2010-10-01,764160.42
35,1,2010-10-08,889534.9400000001
36,1,2010-10-15,981685.59
37,1,2010-10-22,1130709.91
38,1,2010-10-29,1761080.4
39,1,2010-11-05,1344483.38
40,1,2010-11-12,637898.54
41,1,2010-11-19,681384.04
42,1,2010-11-26,732023.07
43,1,2010-12-03,940974.7
44,1,2010-12-10,1287990.47
45,1,2010-12-17,1788743.92
46,1,2010-12-24,2232354.21
47,1,2010-12-31,621175.09
48,1,2011-01-07,523274.27999999997
49,1,2011-01-14,572892.57
50,1,2011-01-21,623889.32
51,1,2011-01-28,652488.21
52,1,2011-02-04,792603.03
53,1,2011-02-11,1212377.15
54,1,2011-02-18,1461194.84
55,1,2011-02-25,619446.17
56,1,2011-03-04,684054.64
57,1,2011-03-11,703729.49
58,1,2011-03-18,723344.24
59,1,2011-03-25,735317.56
60,1,2011-04-01,781166.1
61,1,2011-04-08,927417.4500000001
62,1,2011-04-15,1140811.14
63,1,2011-04-22,2301887.84
64,1,2011-04-29,1484108.24
65,1,2011-05-06,649338.4
66,1,2011-05-13,611503.25
67,1,2011-05-20,590107.4400000001
68,1,2011-05-27,599105.51
69,1,2011-06-03,603592.8
70,1,2011-06-10,607439.84
71,1,2011-06-17,621559.64
72,1,2011-06-24,628891.77
73,1,2011-07-01,645093.8
74,1,2011-07-08,635646.3
75,1,2011-07-15,642237.78
76,1,2011-07-22,622483.37
77,1,2011-07-29,628436.94
78,1,2011-08-05,643312.68
79,1,2011-08-12,619463.6
80,1,2011-08-19,623716.97
81,1,2011-08-26,625554.64
82,1,2011-09-02,632023.24
83,1,2011-09-09,685912.02
84,1,2011-09-16,715780.44
85,1,2011-09-23,734213.45
86,1,2011-09-30,741630.83
87,1,2011-10-07,864480.77
88,1,2011-10-14,925375.81
89,1,2011-10-21,1072796.5
90,1,2011-10-28,1500794.42
91,1,2011-11-04,1663186.8900000001
92,1,2011-11-11,683835.02
93,1,2011-11-18,698553.97
94,1,2011-11-25,755285.53
95,1,2011-12-02,940287.71
96,1,2011-12-09,1284315.42
97,1,2011-12-16,1790310.08
98,1,2011-12-23,2230343.8
99,1,2011-12-30,892701.5
100,1,2012-01-06,593103.91
101,1,2012-01-13,613081.71
102,1,2012-01-20,660113.12
103,1,2012-01-27,680687.63
104,1,2012-02-03,819746.84
105,1,2012-02-10,1130450.1
106,1,2012-02-17,1779316.01
107,1,2012-02-24,703530.48
108,1,2012-03-02,789334.39
109,1,2012-03-09,790558.79
110,1,2012-03-16,849715.12
111,1,2012-03-23,904195.89
112,1,2012-03-30,1170557.93
113,1,2012-04-06,2492989.92
114,1,2012-04-13,1508832.27
115,1,2012-04-20,611916.32
116,1,2012-04-27,602250.63
117,1,2012-05-04,629152.8
118,1,2012-05-11,666154.84
119,1,2012-05-18,648739.47
120,1,2012-05-25,643725.65
121,1,2012-06-01,628090.49
122,1,2012-06-08,667201.63
123,1,2012-06-15,662747.62
124,1,2012-06-22,650481.1799999999
125,1,2012-06-29,642542.41
126,1,2012-07-06,681918.86
127,1,2012-07-13,649298.95
128,1,2012-07-20,656522.5499999999
