,Store,Date,Total_Weekly_Sales
0,1,2010-02-05,1643690.9
1,1,2010-02-12,1641957.44
2,1,2010-02-19,1611968.17
3,1,2010-02-26,1409727.59
4,1,2010-03-05,1554806.68
5,1,2010-03-12,1439541.59
6,1,2010-03-19,1472515.79
7,1,2010-03-26,1404429.92
8,1,2010-04-02,1594968.28
9,1,2010-04-09,1545418.53
10,1,2010-04-16,1466058.28
11,1,2010-04-23,1391256.12
12,1,2010-04-30,1425100.71
13,1,2010-05-07,1603955.1199999999
14,1,2010-05-14,1494251.5
15,1,2010-05-21,1399662.07
16,1,2010-05-28,1432069.95
17,1,2010-06-04,1615524.71
18,1,2010-06-11,1542561.09
19,1,2010-06-18,1503284.06
20,1,2010-06-25,1422711.6
21,1,2010-07-02,1492418.1400000001
22,1,2010-07-09,1546074.18
23,1,2010-07-16,1448938.92
24,1,2010-07-23,1385065.2
25,1,2010-07-30,1371986.6
26,1,2010-08-06,1605491.78
27,1,2010-08-13,1508237.76
28,1,2010-08-20,1513080.49
29,1,2010-08-27,1449142.92
30,1,2010-09-03,1540163.53
31,1,2010-09-10,1507460.69
32,1,2010-09-17,1430378.67
33,1,2010-09-24,1351791.03
34,1,2010-10-01,1453329.5
35,1,2010-10-08,1508239.93
36,1,2010-10-15,1459409.1
37,1,2010-10-22,1345454.0
38,1,2010-10-29,1384209.22
39,1,2010-11-05,1551659.28
40,1,2010-11-12,1494479.49
41,1,2010-11-19,1483784.18
42,1,2010-11-26,1955624.11
43,1,2010-12-03,1548033.78
44,1,2010-12-10,1682614.26
45,1,2010-12-17,1891034.93
46,1,2010-12-24,2387950.2
47,1,2010-12-31,1367320.01
48,1,2011-01-07,1444732.28
49,1,2011-01-14,1391013.96
50,1,2011-01-21,1327405.42
51,1,2011-01-28,1316899.31
52,1,2011-02-04,1606629.58
53,1,2011-02-11,1649614.93
54,1,2011-02-18,1686842.78
55,1,2011-02-25,1456800.28
56,1,2011-03-04,1636263.41
57,1,2011-03-11,1553191.63
58,1,2011-03-18,1576818.06
59,1,2011-03-25,1541102.3800000001
60,1,2011-04-01,1495064.75
61,1,2011-04-08,1614259.35
62,1,2011-04-15,1559889.0
